"spp","x","y","dbh","ht"
"Cc",279.38,6.02,13.25,12.48
"Ll",276.63,2.81,10.03,11.43
"Cc",277.48,4.57,12.44,11.56
"Aa",277.58,0.44,17.13,15.1
"Bb",264.82,25.76,13.31,13.43
"Dd",266.88,21.2,16.52,15.47
"Ee",265.14,31.1,26.08,17.79
"Bb",265.44,29.87,13.33,14.01
"Dd",262.04,37.06,21.46,17.83
"Aa",265.45,35.78,43.16,21.89
"Ff",266.54,30.08,17.04,15.77
"Dd",267.67,34.59,11.75,12.16
"Dd",270.73,30.97,75.45,23.87
"Dd",270.84,38.24,12.34,12.88
"Aa",279.99,37.1,14.32,12.88
"Gg",276.95,31.93,12.98,14.05
"Cc",279.45,32.83,46.9,22.24
"Cc",273.93,20.12,26.59,18.71
"Nn",273.08,26.07,18.41,15.16
"Ll",271.83,28.03,12.74,12.72
"Kk",272.23,28.69,37.87,20.43
"Cc",275.18,28.27,11.22,12
"Ff",276.22,24.89,81.93,21.76
"Nn",266.01,49.62,16.4,14.39
"Hh",267.07,47.39,11.66,12.52
"Bb",268.62,43.03,17.02,15.41
"Hh",261.47,50.61,19.9,16.37
"Hh",260.14,53.03,17.71,15.75
"Bb",264.86,51.46,30.65,18.41
"Ff",263.98,52.48,16.22,14.64
"Dd",264.3,57.96,11.12,10.63
"Mm",269.43,52.52,20.37,15.97
"Ee",270.74,59.05,10.77,11.82
"Ee",271.26,57,18.36,15.17
"Ee",278.67,59.76,10.49,9.76
"Gg",277.42,58.05,12.57,12.65
"Cc",275.85,46.23,11.51,12.38
"Ff",270.67,47.58,69.81,23.66
"Aa",277.72,48.75,15.02,13.22
"Gg",260.74,69.8,26.75,18.63
"Dd",267.59,65.38,11.23,10.37
"Cc",267.68,65.54,13.44,13.27
"Ee",269.18,63.7,41.27,21.02
"Hh",263.58,75.17,25.1,20.75
"Hh",265.47,72.54,13.04,13.33
"Hh",261.41,77.7,17.92,15.73
"Cc",266.13,75.87,31.39,17.3
"Ff",270.52,69.07,15.13,13.48
"Kk",272.56,73.55,26.39,18.33
"Mm",271.66,74.2,40.82,18.94
"Qq",272.08,80.19,14.45,13.97
"Cc",276.66,78.74,10.58,10.85
"Hh",278.77,74.64,16.53,16.26
"Ii",278.34,73.07,18.74,16.85
"Cc",274.33,63.64,15.94,15.04
"Jj",274.46,59.96,20.77,17.03
"Oo",277.79,67.39,22.75,17.13
"Ee",277.43,65.22,22.03,15.38
"Bb",277.65,60.42,22.02,15.83
"Ll",276.92,60.61,16.16,14.45
"Mm",262.79,82.19,10.13,10.89
"Ll",267.6,81.63,14.98,13.53
"Cc",261.34,95.72,17.76,14.68
"Ff",261.52,100.15,10.71,10.59
"Bb",267.19,98.68,15.78,14.56
"Ee",268.95,96.8,12.71,12.68
"Ll",274.87,93.21,15.94,13.25
"Ee",273.17,92.8,17.3,16.17
"Mm",273.07,95.59,19.59,15.64
"Gg",276.48,92.09,10.87,11.06
"Bb",277.33,92.04,29.54,17.31
"Dd",275.05,91.98,17.75,14.9
"Ff",275.3,94.7,12.54,12.67
"Nn",277.96,94.54,11.8,11.95
"Ff",270.27,79.72,31.94,20.15
"Aa",269.59,80.8,20.08,14.38
"Kk",272.16,83.67,18.54,15.96
"Bb",275.19,85.12,15.04,13.51
"Ff",278.44,88.56,16.04,14.94
"Nn",279.27,83.74,30.29,18.27
"Gg",279.72,84.58,45.6,22.43
"Cc",259.84,101.53,15.9,13.16
"Mm",262.76,107.74,13.17,12.32
"Tt",264.73,109.32,12.11,12.69
"Aa",267.99,108.71,16.44,13.6
"Ii",267.1,110.46,14.3,12.88
"Gg",267,109.38,17.29,13.81
"Mm",265.44,100.98,12.64,12.32
"Ii",265.86,104.04,28.91,16.19
"Hh",269.34,104.08,17.16,14.91
"Ff",262.34,113.3,13.36,13.58
"Ll",264.63,111.96,22.04,16.66
"Aa",260.26,115.61,11.42,12.49
"Ll",261.11,117.86,14.42,13.72
"Mm",262.87,115.61,13.59,12.43
"Gg",263.12,116.16,19.35,16.53
"Dd",264.14,114.97,13.48,12.87
"Jj",266.02,118.61,12.16,11.89
"Aa",268.5,117.9,17.06,16.03
"Jj",267.58,117.51,12.36,12.26
"Cc",265.3,114.41,17.16,14.91
"Nn",265.99,114.42,20.45,16.39
"Dd",269.3,112.97,22.44,17.05
"Mm",269.11,113.4,13.84,13.94
"Oo",271.14,110.48,14.82,14.68
"Aa",271.57,114.33,14.93,13.84
"Mm",274.59,114.35,11.27,11.26
"Bb",273.16,113.07,16.85,16.19
"Bb",273.86,110.17,21.89,17.47
"Ii",270.9,115.38,12.83,13.99
"Hh",271.01,118.83,10.76,11.37
"Ff",272.27,118.65,27.41,18.08
"Cc",273.1,120.15,22.49,16.95
"Bb",275.35,117.38,10.43,10.69
"Gg",277.34,119.99,11.21,12.45
"Nn",278.25,114.34,11.64,12.29
"Ee",279.51,112.35,13.29,12.66
"Ii",278.2,112.11,25.08,18.08
"Ee",271.1,100.95,21.06,17.38
"Oo",273.05,101.77,20.65,16.44
"Hh",271.65,105.04,11.21,11.98
"Ii",270.62,108.67,11.42,10.75
"Ll",272.84,108.78,22.45,15.88
"Kk",273.56,108.5,11.64,12.28
"Aa",275.98,104.92,17.25,15.94
"Nn",276.12,110.06,11.48,12.64
"Bb",277.35,104.92,18.24,15.73
"Aa",263.81,122.87,12.57,11.87
"Bb",262.38,121.52,18.64,15.24
"Ff",259.43,126.31,13.43,12.26
"Hh",261.8,125.02,30.77,18.89
"Ee",260.75,124.86,18.41,13.73
"Bb",260.92,129,19.17,16.09
"Bb",266.5,124.59,11.6,11.59
"Gg",265.78,128.59,17.1,14.18
"Bb",266.17,130.14,38.35,20.72
"Ii",269.14,128.3,11.27,12.9
"Mm",268.22,127.12,16.7,16.01
"Ss",265.16,121.88,13.44,13.18
"Ee",265.79,122.05,22.9,16.65
"Rr",269.94,123.91,16.35,15.01
"Jj",261.88,135.59,23.2,16.56
"Ll",262.05,137.71,14.33,14.14
"Ff",264.09,134.99,14.39,14.79
"Bb",264.82,137.98,11.47,11.9
"Aa",268.21,138.29,13.37,12.33
"Ee",268.71,136.92,17.48,16.24
"Nn",266.38,134.83,11.83,10.66
"Bb",264.81,131.54,11.45,11.61
"Ee",266.45,131.45,11.56,11.42
"Nn",266.71,131.27,26.38,18.68
"Aa",267.32,131.3,15.1,14.67
"Ii",269.15,130.36,22.26,17.44
"Jj",271.14,130.4,17.3,14.5
"Dd",271.31,134.5,14.24,13.11
"Ii",270.38,139.22,23.57,16.64
"Ee",276.18,135.67,12.05,12.63
"Jj",275.22,137.52,18.51,16.62
"Jj",277.24,139.75,15.7,13.99
"Jj",279.86,138.49,19.62,16.64
"Bb",279.2,138.02,12.5,11.48
"Dd",276.09,131.98,17.04,15.87
"Jj",271.31,122.37,10.72,11.27
"Oo",273.23,128.68,14.67,13.41
"Ee",275.65,125.5,14.78,12.75
"Cc",276.24,128.64,24.54,18.23
"Cc",279.06,129.27,12.23,12.2
"Cc",276.6,126.65,15.94,14.49
"Dd",276.15,122.34,12.34,12.69
"Nn",279.66,124.69,14.06,14.91
"Ii",278.88,123.21,16.94,15.77
"Gg",279.59,122.08,19.69,16.1
"Ll",260.37,142.91,17.26,14.62
"Ff",265.42,140.54,11,10.17
"Ii",260.98,145.94,13,14.45
"Mm",262.13,148.9,10.48,10.68
"Hh",265.3,149.63,42.77,21.43
"Gg",269.11,147.96,12.93,12.74
"Ff",266.93,143.63,14.27,13.73
"Aa",261.96,154.56,11.1,11.81
"Dd",263.29,152.7,18.67,16.3
"Ll",264.21,150.72,13.15,13.57
"Aa",262.74,150.07,12.17,12.62
"Jj",261.18,155.48,14.99,15.03
"Bb",261.74,157.22,28.54,18.57
"Dd",261.89,156.23,13.85,13.83
"Jj",266.4,155.5,10.41,11.1
"Oo",267.74,159.15,12.19,13.49
"Ee",269.42,156.57,17.56,14.68
"Ff",269.67,156,21.73,17.25
"Ee",266.23,150.25,10.46,11.04
"Dd",268.26,151.73,14.78,13.78
"Jj",273.15,153.87,12.68,11.83
"Ll",269.81,155.58,13.98,12.9
"Cc",278.96,157.07,19.13,15.64
"Aa",277.55,155.15,20.75,17.26
"Kk",277.38,154.72,12.32,10.95
"Ii",277.53,153.82,14.65,12.89
"Ll",270.1,140.6,38.83,20.75
"Ii",273.47,144.25,17.16,13.87
"Gg",276.44,142.46,13.11,12.42
"Gg",274.72,140.81,12.61,12.68
"Jj",272.13,145.72,17.22,16.01
"Aa",273.46,148.6,22.94,15.44
"Cc",274.01,147.88,15.89,15.01
"Hh",274.34,146.85,20.44,17.13
"Gg",277.43,149.65,29.54,18.44
"Ii",279.32,147.51,12.47,11.31
"Ff",278.32,146.28,10.19,10.32
"Gg",278.82,145.8,15.42,15.83
"Bb",276.5,146.03,16.85,16.04
"Aa",276.12,142.95,13.79,12.72
"Dd",279.36,139.78,13.39,13.22
"Gg",277.8,141.93,15.9,14.65
"Ee",277.19,143.18,13.7,13.2
"Ee",276.68,139.79,33.66,19.75
"Bb",276.15,139.76,12.6,12.9
"Aa",260.65,160,11.63,12.06
"Cc",260.35,161.17,39.94,20.89
"Dd",260.42,163.68,15.75,15.35
"Mm",263.64,163.04,12.93,11.4
"Dd",260.2,168.93,22.05,16.6
"Ee",263.38,169.15,16.86,15.08
"Aa",262.75,166.85,10.65,11.36
"Aa",265.16,165.74,10.13,11.23
"Pp",267.69,168.16,12.93,12.9
"Nn",268.28,164.64,12.14,12.87
"Ff",269.09,163.37,10.1,10.41
"Jj",259.88,171.75,12.47,12.19
"Ee",261.46,171.34,11.02,11.94
"Bb",262.4,173.12,15.33,13.48
"Hh",264.49,172.62,13.68,13.13
"Ll",261.16,175.41,18.66,14.89
"Mm",262.44,180.16,13.71,14.17
"Ll",267.5,176.79,19.3,14.36
"Nn",266.59,173.53,15.85,14.36
"Cc",265.5,173.19,22.73,16.78
"Cc",268.84,171.62,13.64,13.3
"Ll",272.03,172.78,15.08,13.38
"Jj",274.52,173.22,15.07,14.49
"Kk",269.11,177.87,23.51,17.77
"Bb",271.64,178.74,15.62,14.23
"Ii",277.99,178.63,17.46,14.69
"Aa",279.73,177.81,17.72,14.83
"Nn",278.99,175.73,20.6,17.12
"Aa",271.77,164.76,12.38,12.94
"Kk",273.66,162.45,27.9,16.63
"Aa",274.23,159.92,11.06,11.48
"Cc",278.07,169.55,22.18,16.71
"Bb",279.21,166.03,20.46,14.83
"Ii",279.78,165.32,15.68,13.92
"Mm",275.07,161.21,19.45,17.48
"Ff",278.25,162.95,29.5,19.62
"Ii",260.8,185.32,19.99,15.15
"Ee",263.02,188.4,16.36,14.21
"Bb",262.84,186.92,16.02,13.98
"Hh",264.75,187.08,22.99,18.46
"Pp",264.55,181.64,21.52,16.58
"Kk",264.32,180.52,15.3,13.93
"Nn",266.44,181.52,13.55,12.84
"Ff",266.02,183.48,10.71,11.03
"Ff",268.87,180.85,20.67,17.42
"Ii",268.84,180.37,17.84,15.39
"Dd",259.61,190.19,12.43,13.43
"Aa",261.22,192.32,21.12,16.47
"Cc",259.98,193.58,16.42,14.25
"Jj",264.33,194.82,13.68,14.35
"Ii",262.2,198.33,14.32,13.38
"Gg",262.92,197.91,12.23,11.9
"Cc",262.09,195.63,13.47,13.47
"Bb",268.32,197.92,12.82,13.24
"Ii",267.27,199.47,24.36,17.92
"Ll",267.16,197.98,12.39,11.71
"Mm",269.01,198.48,14.6,15.85
"Dd",266.92,197.01,17.17,15.7
"Jj",268.93,193.09,14.21,12.87
"Ee",269.86,190.91,16.53,14.41
"Ff",270.45,196.33,15.76,14.99
"Dd",272.22,198.4,12.78,13.01
"Mm",278.25,197.24,15.24,13.36
"Ii",280.19,199.88,19.31,14.2
"Nn",276.89,193.39,21.57,18.03
"Ff",272.49,189.05,15.11,14.56
"Ff",274.32,188.38,28.39,20.64
"Nn",275.99,186.04,20.13,16.83
"Ii",279.73,187.05,18.79,14.87
"Jj",278.9,185.44,19.31,13.8
"Ii",276.22,182.11,13.05,12.93
"Aa",264.72,203.9,21.92,15.66
"Aa",264.03,204.77,12.58,13.37
"Hh",266.26,206.48,11.35,11.07
"Ee",265.01,207.11,15.05,14.66
"Hh",266.73,210.15,17.4,14.36
"Cc",267.88,205.37,10.18,10.49
"Bb",266.7,201.6,11.68,13.1
"Hh",266.28,201.75,11.66,12.78
"Cc",267.26,202.18,28.23,18.7
"Ll",269.35,203.57,13.91,12.99
"Ff",262.04,210.83,14.07,13.95
"Dd",260.37,213.22,12.1,11.96
"Dd",263.08,215.33,14.32,14.08
"Ff",263.64,212.87,14.78,13.95
"Jj",265.11,211.19,22.8,16.37
"Gg",262.64,212.24,12.45,12.67
"Nn",260.13,216.2,22,16.27
"Aa",267.57,216.55,19.12,14.73
"Hh",271.99,212.65,34.09,20.75
"Aa",270.57,215.9,10.71,10.93
"Ll",271.34,214.22,15.79,14.94
"Kk",272.52,215.95,13.03,12.49
"Cc",274.57,209.69,10.52,10.92
"Bb",270.3,217.06,16.72,15.42
"Hh",271.06,219.88,12.57,11.31
"Ii",274.45,217.88,24.44,17.07
"Nn",276.99,215.51,12,11.82
"Oo",277.26,219.31,12.83,13.39
"Dd",279.65,217.8,23.72,16.21
"Cc",274.01,200.13,16.65,14.43
"Bb",270.93,201.46,20.15,14.73
"Aa",271.98,204.7,14.51,13.45
"Bb",273.86,201.74,24.14,16.45
"Gg",274.39,202.22,14.27,12.96
"Jj",275.06,203.56,19.12,14.16
"Ee",270.62,205.86,21.59,16.55
"Bb",273.72,207.15,14.72,14.03
"Gg",271.25,208.62,16.71,13.96
"Bb",275.55,206.72,20.39,16.15
"Jj",276.44,209.11,13.97,13.19
"Ll",277.79,203.15,14.3,12.58
"Cc",277.8,203.84,11.8,11.98
"Dd",262.55,223.71,12.38,12.72
"Dd",260.72,222.88,15.07,14.31
"Hh",259.96,225.81,20.46,15.75
"Hh",260.85,225.43,18.75,15.73
"Cc",262.48,230.07,20.1,15.64
"Cc",266.63,226.12,17.82,15.04
"Qq",268.86,227.5,12.18,11.65
"Gg",269.99,226.09,18.12,16.67
"Mm",266,220.32,15.24,16.08
"Cc",266.06,224.59,20.65,16.13
"Jj",267.63,220.23,13.6,12.22
"Aa",260.93,230.14,18.22,15.41
"Hh",265.13,234.36,22.28,15.9
"Bb",262.91,235.89,33.72,19.59
"Bb",267.67,237.52,19.21,15.63
"Hh",269,235.77,13.87,12.62
"Nn",265.39,229.77,17.28,16.05
"Nn",267.97,230.41,13.37,14
"Dd",272.51,231.69,26.1,17.37
"Ll",274.1,231.67,43.73,23.31
"Aa",279.75,239.24,18.06,14.68
"Bb",280.12,239.07,13.55,13.18
"Aa",279,236.09,14.78,14.66
"Ii",271.32,223.62,18.64,14.34
"Bb",271.34,224.45,34.37,20.31
"Aa",274.98,222.21,11.12,11.34
"Kk",270,225.66,28.35,18.43
"Bb",270.47,227.31,17.94,14.31
"Kk",272.04,229.33,16.15,13.04
"Ee",273.6,229.69,10.6,10.64
"Gg",274.34,228.07,22.34,16.76
"Cc",275.66,226.32,12.97,13.03
"Ff",275.94,221.36,13.09,11.97
"Hh",276.51,220.03,23.43,15.25
"Ll",276.61,220.63,12.02,13.28
"Jj",261.36,245.39,16.21,14.26
"Cc",260,245.84,15.81,14.11
"Cc",268.29,243.01,20.61,16.53
"Ee",270.37,239.89,14.63,14.18
"Jj",266.18,251.05,22.35,16.61
"Ll",266.41,251.82,28.16,19.06
"Ll",267.27,254.55,12.86,14.21
"Bb",267.03,255.49,11.75,12.44
"Dd",272.83,255.32,12.18,12.22
"Ee",275.69,253.18,32.4,17.47
"Oo",273.03,246.65,15.98,15.79
"Jj",276.16,240.85,19.33,16.42
"Mm",279.37,242.07,26.85,18.86
"Nn",262.56,264.94,34.5,19.23
"Aa",264.5,263.56,11.68,12.11
"Jj",266.45,261.08,14.71,13.08
"Bb",260.93,271.39,38.55,19.49
"Mm",266.73,279.92,21.52,15.85
"Ll",268.96,277.68,10.44,10.78
"Dd",263.55,271.05,23.19,18.23
"Jj",272.78,273.57,37.24,21.29
"Cc",277.04,269.48,13.35,11.75
"Jj",275.75,273.83,11.19,11.78
"Dd",277.63,274.57,43.84,21.45
"Jj",260.11,282.29,42.49,21.18
"Gg",260.4,285.87,32.02,21.17
"Bb",261.55,288.37,26.5,16.65
"Kk",268.01,283.69,49.49,20.5
"Ss",262.55,293.15,20.47,16.22
"Ll",278.11,297.46,24.3,19.01
"Ff",277.12,290.05,12.25,13.36
"Dd",269.45,283.47,13.32,13.16
"Gg",270.85,283.52,10.27,11.09
"Oo",276.1,280.51,61.15,23.66
"Hh",260.61,309.3,27.11,17.61
"Jj",261.87,309.09,21.52,16.17
"Ee",264.68,316.3,36.47,20.28
"Ll",267.39,320.06,13.56,13.11
"Ll",269.57,316.95,15.83,14.83
"Ff",266.62,312.81,10.35,11.5
"Dd",271.46,312.02,13.66,13.73
"Gg",273.05,310.87,18.38,15.61
"Ee",270.41,319.46,15.76,14.66
"Ff",276.05,317.74,11.17,11.28
"Aa",279.73,317.66,25.28,16.99
"Ff",280.11,316.71,12,12.77
"Ee",279.15,310.25,22.62,17.52
"Nn",274.03,304.64,21.7,16.25
"Nn",272.22,308.79,18.44,15.26
"Dd",270.4,309.6,14.16,14.06
"Hh",278.38,308.64,22.67,15.66
"Ee",261.46,323.28,15.74,15.29
"Bb",260.78,328.35,11.01,10.27
"Cc",269.36,329.23,35.46,20.11
"Jj",268.17,321.91,32.66,19.9
"Bb",268.98,335.87,15.54,14.6
"Nn",267.56,332.62,12.8,10.9
"Kk",265.57,331.57,40.31,19.15
"Ff",271.86,339.15,29.79,19.06
"Ff",273.83,338.11,14.1,14.38
"Hh",273.65,335.71,14.71,13.15
"Kk",277.44,336.63,12.98,13.76
"Gg",270.97,322.83,14.36,13
"Ff",274.49,329.47,37.48,21.23
"Aa",277.24,328.06,12.55,12.74
"Ii",278.61,329.3,22.35,16.35
"Oo",277.25,322.89,23.92,16.27
"Bb",263.59,346.16,15.8,14.85
"Bb",262.08,347.98,14.61,14.4
"Hh",262.31,351.84,23.35,16.67
"Gg",264.07,354.57,13.57,14.15
"Ee",265.79,358.5,20.5,16.03
"Mm",268.69,359.16,48.67,22.95
"Oo",268.29,354.75,52.35,20.83
"Ii",274.29,353.43,40.3,19.83
"Gg",276.46,356.58,13.08,12.29
"Bb",274.99,357.82,45.54,21.34
"Jj",276.5,352.63,22.94,16.36
"Cc",279.05,352.73,21.84,16.62
"Ff",278.15,351.74,16.63,15.32
"Ee",274.49,341.53,28.16,20.34
"Hh",274.41,347.54,14.5,12.76
"Oo",273.44,346.63,27.36,17.73
"Ll",276.58,343.03,10.81,11.3
"Cc",265.04,364.21,24.35,18.73
"Mm",260.98,368.97,39.68,18.97
"Ll",263.88,367,44.74,20.21
"Ii",268.5,365.55,48.09,19.4
"Hh",265.28,363.57,22.95,17.08
"Aa",264.58,372.07,28.98,17.71
"Cc",262.28,378.25,30.93,19.37
"Bb",265.13,379.66,14.03,13.34
"Mm",270.59,378.9,31.84,17.7
"Ss",269.43,378.46,21.36,16.39
"Hh",272.7,371.46,17.6,14.46
"Ee",271.69,375.34,28.92,17.96
"Oo",271.86,374.87,12.24,12.38
"Ll",271.07,380.42,17.35,17.06
"Nn",276.64,377.96,14.04,12.25
"Ii",276.41,378.09,12.72,12.17
"Jj",276,370.76,26.99,17.17
"Mm",277.15,374.06,15.79,12.99
"Nn",278.39,373.2,11.88,12.2
"Ee",270.93,365.51,21.74,16.33
"Dd",272.12,366.36,16.36,14.02
"Hh",270.09,367.93,24.86,18.08
"Cc",272.73,367.75,14.02,13.06
"Bb",276.92,365.09,14.58,13.4
"Aa",276.74,367.12,17.16,14.34
"Bb",278.01,367.85,33.32,17.75
"Mm",279.26,368.27,10.81,10.92
"Mm",279.26,369.14,16.78,14.59
"Dd",278.6,367.02,57.1,20.74
"Dd",277.5,360.94,48.05,22.36
"Jj",264.27,384.33,15.77,15.66
"Dd",265.2,381.23,10.27,11.79
"Ee",261.21,388.55,33.96,18.23
"Ll",263.2,389.09,12.07,12.56
"Ll",263.68,385.92,21.74,15.48
"Aa",265.29,386.31,21.79,17.72
"Nn",265.7,387.28,12.55,12.84
"Bb",265.79,390.14,13.18,12.76
"Cc",269.74,386.72,29.92,18.58
"Aa",265.57,382.79,21.02,17.34
"Ii",268.23,384.59,17.42,14.26
"Bb",268.48,383.56,12.77,13.9
"Dd",264.08,392.39,19.8,16.02
"Aa",263.68,398.13,31.53,18.74
"Ff",264.72,398.72,13.42,13.17
"Ll",266.52,395.95,22.91,16.76
"Cc",269.26,394.43,17.72,16.28
"Cc",271.82,391.71,14.29,13.74
"Ff",273.29,391.2,15.32,14.19
"Bb",271.09,398.04,14.54,13.75
"Hh",274.76,394.9,28.46,18.59
"Oo",275.5,393.52,31.54,18.17
"Ff",279.39,393.11,12.84,12.59
"Jj",272.49,384.42,14.2,13.43
"Hh",274.59,385.5,15.48,13.87
"Ee",275.31,387.28,22.57,16.06
"Hh",277.28,388.52,16.93,15.26
"Gg",277.56,383.65,14.72,15.07
"Cc",279.52,384.42,16.13,14.23
"Gg",259.58,404.54,15.62,13.99
"Dd",262.5,406.54,12.4,12.29
"Jj",260.74,409.13,20.45,16.64
"Aa",262.14,410.81,17.76,16.18
"Ii",262.07,414.37,15.18,14.28
"Aa",261.94,419.1,27.09,17.95
"Ll",262.49,416.23,13.3,12.21
"Hh",268.04,413.86,17.76,15.59
"Ii",271.47,410.9,21.58,17.37
"Cc",272.31,414.76,31.01,19.37
"Ff",271.66,418.52,16.32,14.45
"Ll",274.08,419.77,30.83,18.37
"Jj",274.18,419.61,44.14,21.91
"Tt",276.87,416.21,30.69,18.5
"Oo",279.67,416.74,13.59,12.95
"Ll",270.15,400.42,41.74,20.87
"Dd",273.52,401,14.34,12.45
"Mm",273.85,407.8,23.73,17.1
"Ll",275.16,402.52,20.74,14.98
"Ff",278.88,404.81,17.88,14.89
"Aa",261.86,422.28,18.07,15.1
"Kk",263.36,430.33,11.46,13.05
"Ll",268.88,428.59,17.3,15.25
"Kk",266.59,424.77,22.06,16.54
"Bb",261.89,429.85,10.49,10.83
"Ll",259.99,432.22,19.48,15.76
"Aa",263.47,432.68,23.58,16.35
"Aa",262.97,431.72,13.38,13
"Dd",264.15,439.53,18.46,16.36
"Ff",263.73,438.52,35.82,19.85
"Ee",266.95,435.32,25.47,18.61
"Dd",269.06,434.43,14.17,12.62
"Aa",268.55,431.94,12.29,13.75
"Aa",274.91,435.56,24.95,16.49
"Cc",272.65,430.88,11.93,11.23
"Ii",279.33,439.26,84.18,25.93
"Mm",277.73,437.74,30.75,18.38
"Gg",278.57,436.33,49.16,23.17
"Hh",278.98,432.7,24.32,16.56
"Mm",272.96,425.57,21.99,16.16
"Dd",276.27,427.21,16.27,15.18
"Mm",275.02,429.44,15.41,13.47
"Cc",275.34,421.19,19.04,16.13
"Aa",276.89,420.24,27.54,19.1
"Cc",263.8,448.23,17.97,15.47
"Ee",262.31,447.27,16.99,15.95
"Dd",267.22,449.81,13.67,14.27
"Dd",268.99,445.86,22.89,16.36
"Oo",263.37,448.99,26.54,18.53
"Bb",259.64,456.55,21.83,15.93
"Ll",263.95,456.8,18.19,14.97
"Kk",263.86,456.28,18.34,15.04
"Cc",265.39,455.72,20.01,14.92
"Ff",266.54,451.84,23.21,18.73
"Dd",267.21,452.13,14.62,13.49
"Aa",269.03,452.92,16.8,13.87
"Aa",269.32,451.93,48.63,22.84
"Kk",268.71,450.99,18.48,16.08
"Hh",272.07,450.11,10.1,10.71
"Mm",273.59,452.93,19.39,16.13
"Ii",273.79,453.65,12.08,12.79
"Oo",275.14,455.01,13.03,11.87
"Bb",278.65,459.34,20.83,14.73
"Bb",278,456.39,19.48,15.48
"Bb",275.63,454.68,30.53,19.33
"Oo",278.16,454.89,14.59,14.08
"Ii",271.16,439.65,50.9,20.76
"Cc",271.95,448.29,13.48,12.97
"Ii",271.43,449.47,14.72,13.51
"Ee",279.77,448.5,19.31,15.68
"Ee",266.7,462.13,35.62,20.55
"Ll",266.18,472.94,22.39,16.82
"Dd",276.06,476.64,14.29,13.03
"Cc",262.95,484.54,24.89,17.61
"Cc",263.53,483.06,14.18,14.64
"Kk",265.2,481.02,87.51,21.84
"Oo",265.09,486.45,24.42,18.45
"Pp",266.77,488.68,14.59,12.39
"Jj",268.5,484.4,15.8,14.82
"Jj",270.37,492.6,84.08,22.32
"Oo",278.71,496.02,15.54,14.2
"Dd",271.8,482.84,11.05,11.66
"Gg",271.9,483.27,14.44,14.1
"Ff",274.52,485.5,18.46,15.84
"Ff",273.94,484.81,30.73,19.24
"Ff",275.82,486.13,12.53,12.11
"Cc",277.25,200.41,20.58,17.68
"Mm",282.47,2.59,30.82,17.58
"Ee",284.19,3.32,13.62,13.12
"Mm",281.37,9.73,16.48,14.91
"Bb",281.96,9.41,23.85,18.51
"Aa",284.54,5.24,19.62,14.3
"Aa",287.92,9.3,14.78,13.28
"Ee",284.96,2.07,24.27,18.24
"Kk",279.86,13.89,12.05,11.84
"Kk",281.87,13.45,16.35,15.06
"Nn",282.34,19.6,19.55,14.88
"Ee",285.05,18.75,22.23,15.19
"Gg",289.63,16.65,13.16,12.89
"Ff",287.78,11.69,14.48,14
"Ff",289.29,12.59,16.14,13.84
"Aa",288.38,11.05,15.78,14.9
"Aa",296.37,17.82,11.27,10.98
"Ii",296.94,18.53,16.69,13.42
"Cc",298.63,15.79,10.73,10.88
"Hh",299.14,13.75,22.78,18.25
"Cc",297.88,10.12,10.59,10.41
"Ff",298.7,10.43,16.98,14.81
"Mm",290.6,1.2,15.38,13.76
"Cc",281.36,28.57,21.01,19.32
"Dd",288.27,26.82,20.3,17.86
"Jj",286.31,22.66,12.68,11.99
"Kk",280.42,30.65,16.23,14.06
"Kk",281.01,31.14,15.75,14.61
"Ii",283.37,39.25,19.63,16.52
"Mm",286.59,38.15,31.77,18.37
"Dd",294.39,38.7,34.66,21.47
"Kk",294.76,35.29,11.86,10.66
"Aa",295.33,30.52,39.35,20.57
"Qq",296.46,35.26,14.47,13.63
"Aa",292.33,21.25,22.42,16.96
"Ii",294.29,29.21,12.89,12.09
"Bb",284.43,41.44,16.55,16.19
"Jj",285.44,46.17,36.64,20.74
"Ee",288.93,45.66,20.66,15.48
"Gg",287.77,45.36,20.87,17.18
"Dd",287.51,45.47,27.55,19.33
"Aa",289.7,44.77,13.73,14.57
"Cc",289.18,42.89,10.02,10.56
"Jj",284.06,54.85,24.8,18.03
"Hh",284.95,50.7,13.42,13.38
"Dd",290.63,49.56,26.45,17.78
"Cc",292.37,50.67,32.11,21.73
"Gg",294.6,51.32,10.32,10.7
"Ff",297.53,52.21,39.96,19.89
"Mm",294.63,43.82,12.66,12.81
"Ll",295.28,44.65,24.76,18.01
"Cc",290.09,50.07,13.91,13.58
"Dd",295.13,46.16,44.08,22.56
"Oo",299.43,47.45,15.17,13.42
"Aa",298.38,43.15,22.72,15.59
"Mm",284.07,62.67,49.06,19.3
"Dd",283.69,61.25,20.1,16.99
"Nn",288.95,67.42,14.74,14.07
"Ff",287.19,62.93,54.52,21.22
"Aa",280.67,71.14,15.4,15.31
"Ee",281.42,73.77,24.67,17.97
"Bb",281.03,73.41,15.16,13.17
"Gg",280.54,79.37,39.27,20.28
"Aa",287.49,79.54,17.31,14.63
"Dd",289.54,78.88,15.64,13.54
"Gg",288.18,77.96,10.23,11.02
"Nn",288.37,76.13,18.5,16.26
"Ee",289.05,74.56,12.37,11.32
"Jj",289.44,72.58,30.02,19.14
"Ii",291.98,74.22,47.9,20.45
"Aa",294.94,74.04,26.99,19.62
"Gg",291.07,77.02,15.78,15.26
"Ii",295.5,75.57,13.45,13
"Gg",295.94,75.76,12.4,12.22
